,Tanggal,Latitude,Longitude,WD10M,WD2M,T2M
0,2020-08-24,-3.90926075,104.1081772,113.25,113.31,26.03
1,2020-08-23,-3.355190754,103.3108368,122.75,127.44,24.42
2,2020-08-24,-2.813246012,104.6307755,116.06,116.19,26.34
3,2020-11-09,-2.811147928,103.0570984,126.88,126.25,26.9
4,2020-08-24,-2.810911894,104.6470718,116.06,116.19,26.34
5,2020-08-28,-3.140979052,102.7457733,120.0,126.69,23.06
6,2020-10-17,-2.726705074,102.249115,218.94,216.69,25.76
7,2020-08-23,-3.374559641,103.046608,122.75,127.44,24.42
8,2020-08-23,-3.149552107,103.0759811,137.12,137.0,25.58
9,2020-08-24,-2.80726099,104.6354828,116.06,116.19,26.34
10,2020-08-27,-3.107839823,104.7190781,121.31,121.31,25.98
11,2020-10-17,-2.94929266,102.8103714,226.81,220.56,23.19
12,2020-08-23,-3.356475115,103.301857,122.75,127.44,24.42
13,2020-10-28,-3.769019842,103.0581207,223.31,227.44,23.13
14,2020-11-13,-4.083502293,103.7019272,81.69,85.75,25.24
15,2020-10-05,-3.223284245,103.4375916,98.62,98.75,27.01
16,2020-08-23,-3.486585855,103.0314484,122.75,127.44,24.42
17,2020-11-09,-4.104023457,103.7883377,113.38,114.25,24.64
18,2020-09-12,-2.416396856,105.0998306,123.81,123.06,27.02
19,2020-09-06,-3.14439106,103.2663879,136.88,137.31,26.57
20,2020-09-24,-4.198465347,103.9299774,126.81,125.12,25.43
21,2020-08-30,-3.464159727,103.2490997,114.88,118.81,24.88
22,2020-11-13,-3.060562134,105.3331451,46.88,45.19,27.73
23,2020-10-28,-3.34492588,104.9376526,158.06,158.25,26.79
24,2020-10-28,-2.027957678,104.6832733,182.56,182.19,26.73
25,2020-08-28,-3.139145136,102.7581406,120.0,126.69,23.06
26,2020-11-18,-2.659818649,105.396759,132.81,132.56,28.32
27,2020-11-22,-3.785390615,103.6858673,303.5,302.12,24.19
28,2020-10-10,-3.790473938,103.5336151,99.38,96.81,24.63
29,2020-11-18,-3.08880496,105.2722855,171.62,172.0,27.53
30,2020-11-13,-3.086666584,105.4554749,46.88,45.19,27.73
31,2020-09-15,-1.8899616,104.2078705,154.44,154.5,26.84
32,2020-08-23,-3.14970994,104.7488861,127.12,127.12,26.05
33,2020-08-16,-3.663359404,103.7773895,132.06,132.0,25.31
34,2020-10-20,-2.652290583,105.3634491,156.25,156.38,27.68
35,2020-10-05,-2.734473705,102.3722305,146.12,148.19,25.91
36,2020-09-01,-3.10153532,103.8209381,123.25,123.31,26.51
37,2020-10-07,-2.675810814,105.3982544,163.81,163.38,27.51
38,2020-10-07,-2.444907427,105.0944366,187.75,185.0,27.26
39,2020-09-01,-3.075269699,103.288475,119.81,119.69,26.31
40,2020-08-23,-2.842766762,102.8410034,137.12,137.0,25.58
41,2020-08-23,-2.671154976,104.1064148,128.38,128.75,26.07
42,2020-08-30,-2.665257215,103.0503235,128.25,128.38,26.25
43,2020-11-11,-3.383941412,103.3356934,123.81,124.44,25.78
44,2020-10-19,-3.355463266,105.3940506,143.69,139.81,26.65
45,2020-10-05,-1.953973889,104.0079498,135.56,138.06,27.05
46,2020-11-04,-3.343777657,105.7857742,173.75,175.88,25.8
47,2020-08-25,-2.812515259,104.6513977,123.19,123.19,25.99
48,2020-11-09,-2.809634686,103.0675812,126.88,126.25,26.9
49,2020-10-20,-2.658695221,105.4040604,156.25,156.38,27.68
50,2020-10-05,-3.822624445,103.8140106,117.81,114.38,24.7
51,2020-10-17,-2.950582981,102.8013611,226.81,220.56,23.19
52,2020-10-17,-2.7216537,102.4121246,218.94,216.69,25.76
53,2020-08-16,-3.745543242,103.8419037,132.06,132.0,25.31
54,2020-08-30,-3.884927511,102.8162155,102.12,117.38,23.83
55,2020-10-05,-4.123818874,104.2540894,135.12,135.25,26.8
56,2020-10-05,-4.201130867,104.0225449,117.81,114.38,24.7
57,2020-11-18,-2.668388844,105.4590607,132.81,132.56,28.32
58,2020-09-16,-4.72645998,104.22686,170.12,162.94,25.04
59,2020-08-21,-3.137745619,103.3177643,114.19,114.19,26.13
60,2020-11-11,-4.144570351,103.8112411,130.19,130.69,25.3
61,2020-08-21,-3.236635447,102.7718887,97.25,108.62,23.73
62,2020-11-13,-4.616566181,104.1898804,77.62,83.31,25.94
63,2020-08-21,-3.846635818,102.8012695,106.19,108.81,26.94
64,2020-09-17,-3.720182419,105.1402817,144.38,144.69,26.26
65,2020-09-13,-2.37955308,105.1691437,119.12,119.0,26.6
66,2020-11-13,-3.035093069,105.2998657,50.94,51.0,27.29
67,2020-11-18,-2.996935368,105.6566315,113.31,101.19,27.93
68,2020-11-18,-2.955305338,105.7139664,113.31,101.19,27.93
69,2020-11-13,-3.077872276,105.3953094,46.88,45.19,27.73
70,2020-08-30,-4.025771141,103.2517166,102.12,117.38,23.83
71,2020-08-30,-3.911032438,102.9225388,102.12,117.38,23.83
72,2020-08-30,-2.628849268,103.1104813,128.25,128.38,26.25
73,2020-08-30,-2.399534464,105.1176147,131.62,131.5,27.08
74,2020-11-13,-1.927672029,104.209137,43.44,43.12,27.62
75,2020-08-30,-2.674313784,103.2356567,128.25,128.38,26.25
76,2020-09-17,-3.913873434,104.7029953,142.88,142.81,25.72
77,2020-08-23,-2.728595495,102.2855148,144.38,144.31,24.59
78,2020-08-30,-2.655137062,102.8630676,128.25,128.38,26.25
79,2020-08-22,-3.994502783,103.8563919,123.81,126.62,24.03
80,2020-08-23,-3.789464712,103.1643219,93.06,104.19,23.62
81,2020-11-18,-3.35231328,104.935257,119.25,118.25,27.35
82,2020-08-23,-3.745669365,103.6795731,128.5,128.5,25.53
83,2020-10-05,-2.684060574,102.8234406,121.88,122.19,27.13
84,2020-10-05,-2.73698616,102.3541031,146.12,148.19,25.91
85,2020-09-19,-2.702638388,102.2877197,131.31,132.31,25.2
86,2020-09-19,-4.055550098,103.9682693,124.62,127.94,24.19
87,2020-09-24,-4.197197914,103.9388885,126.81,125.12,25.43
88,2020-09-29,-3.322853565,105.2290573,122.0,122.12,26.57
89,2020-09-01,-2.906405687,102.6418152,109.75,116.62,23.79
90,2020-10-07,-2.446544647,105.1055984,187.75,185.0,27.26
91,2020-08-24,-2.819133043,104.6371536,116.06,116.19,26.34
92,2020-08-27,-3.91415143,102.8195572,95.12,111.5,23.05
93,2020-08-27,-3.916031361,102.8320694,95.12,111.5,23.05
94,2020-10-07,-2.445925474,105.0990067,187.75,185.0,27.26
95,2020-10-05,-2.628473759,104.9582291,141.44,140.75,27.57
96,2020-08-25,-3.615472078,105.522438,118.75,118.0,26.78
97,2020-08-25,-3.614136457,105.5318756,118.75,118.0,26.78
98,2020-11-13,-4.174106598,103.7800369,81.69,85.75,25.24
99,2020-11-18,-3.134322405,105.4281082,113.31,101.19,27.93
100,2020-12-08,-1.928603768,104.2110748,314.75,314.75,26.65
101,2020-08-28,-3.742901802,103.7149887,130.75,130.75,25.4
102,2020-08-23,-3.485287428,103.0405273,122.75,127.44,24.42
103,2020-12-08,-2.162253618,104.3412476,314.75,314.75,26.65
104,2020-10-02,-3.826567888,103.8109207,136.62,136.94,24.67
105,2020-11-13,-3.992405891,103.3143463,65.25,79.38,24.47
106,2020-10-05,-3.107448816,104.5419998,128.75,128.75,27.05
107,2020-10-06,-3.354207754,104.935051,184.56,184.94,27.3
108,2020-09-19,-2.70448041,102.294632,131.31,132.31,25.2
109,2020-08-18,-2.9374156,104.0637817,125.44,125.31,25.85
110,2020-09-24,-3.90563798,103.915184,126.81,125.12,25.43
