,Hari,Bulan,Tahun,WD10M,WD2M,T2M
43922,14,10,2019,126.75,126.81,27.07
43923,14,10,2019,126.19,126.19,27.23
43924,14,10,2019,127.06,127.31,27.93
43925,14,10,2019,117.69,117.38,27.15
43926,14,10,2019,112.5,112.44,27.63
43927,14,10,2019,110.5,110.56,27.57
43928,14,10,2019,99.94,100.81,26.59
43929,14,10,2019,117.69,117.38,27.15
43930,14,10,2019,126.19,126.19,27.23
43931,14,10,2019,113.38,113.31,27.11
43932,14,10,2019,112.5,112.44,27.63
43933,14,10,2019,126.19,126.19,27.23
43934,14,10,2019,117.69,117.38,27.15
43935,14,10,2019,113.38,113.31,27.11
43936,14,10,2019,117.69,117.38,27.15
43937,14,10,2019,110.5,123.75,27.22
43938,14,10,2019,117.69,117.38,27.15
43939,14,10,2019,117.69,117.38,27.15
43940,14,10,2019,117.69,117.38,27.15
43941,14,10,2019,130.31,130.56,27.12
43942,14,10,2019,113.38,113.31,27.11
43943,14,10,2019,103.94,104.12,27.76
43944,14,10,2019,126.19,126.19,27.23
43945,14,10,2019,117.69,117.38,27.15
43946,14,10,2019,99.94,100.81,26.59
43947,14,10,2019,111.19,110.75,27.33
43948,14,10,2019,120.56,119.62,27.4
43949,14,10,2019,107.12,107.12,27.05
43950,14,10,2019,103.06,103.19,28.89
43951,14,10,2019,103.06,103.19,28.89
43952,14,10,2019,99.94,100.81,26.59
43953,14,10,2019,107.12,107.12,27.05
43954,14,10,2019,110.5,123.75,27.22
43955,14,10,2019,110.5,123.75,27.22
43956,14,10,2019,110.5,123.75,27.22
43957,14,10,2019,111.19,110.75,27.33
43958,14,10,2019,126.19,126.19,27.23
43959,14,10,2019,110.5,123.75,27.22
43960,14,10,2019,113.38,113.31,27.11
43961,14,10,2019,113.38,113.31,27.11
43962,14,10,2019,103.94,104.12,27.76
43963,14,10,2019,113.38,113.31,27.11
43964,14,10,2019,122.62,122.56,26.94
43965,14,10,2019,126.5,126.0,27.53
43966,14,10,2019,107.12,107.12,27.05
43967,14,10,2019,107.12,107.12,27.05
43968,14,10,2019,122.62,122.56,26.94
43969,14,10,2019,99.94,100.81,26.59
43970,14,10,2019,107.12,107.12,27.05
43971,14,10,2019,107.12,107.12,27.05
43972,14,10,2019,107.12,107.12,27.05
43973,14,10,2019,126.75,126.81,27.07
43974,14,10,2019,99.94,100.81,26.59
43975,14,10,2019,126.19,126.19,27.23
43976,14,10,2019,99.94,100.81,26.59
43977,14,10,2019,99.94,100.81,26.59
43978,14,10,2019,113.38,113.31,27.11
43979,14,10,2019,122.62,122.56,26.94
43980,14,10,2019,111.19,110.75,27.33
43981,14,10,2019,126.19,126.19,27.23
43982,14,10,2019,117.69,117.38,27.15
43983,14,10,2019,110.5,123.75,27.22
43984,14,10,2019,126.5,126.0,27.53
43985,14,10,2019,113.38,113.31,27.11
43986,14,10,2019,126.75,126.81,27.07
43987,14,10,2019,99.94,100.81,26.59
43988,14,10,2019,107.12,107.12,27.05
43989,14,10,2019,107.12,107.12,27.05
43990,14,10,2019,99.94,100.81,26.59
43991,14,10,2019,107.12,107.12,27.05
43992,14,10,2019,103.94,104.12,27.76
43993,14,10,2019,107.12,107.12,27.05
43994,14,10,2019,107.12,107.12,27.05
43995,14,10,2019,107.12,107.12,27.05
43996,14,10,2019,99.94,100.81,26.59
43997,14,10,2019,107.12,107.12,27.05
43998,14,10,2019,99.94,100.81,26.59
43999,14,10,2019,99.94,100.81,26.59
44000,14,10,2019,126.75,126.81,27.07
44001,14,10,2019,99.94,100.81,26.59
44002,14,10,2019,99.94,100.81,26.59
44003,14,10,2019,107.94,103.56,26.03
44004,14,10,2019,126.19,126.19,27.23
44005,14,10,2019,117.69,117.38,27.15
44006,14,10,2019,126.19,126.19,27.23
44007,14,10,2019,112.5,112.44,27.63
44008,14,10,2019,127.06,127.31,27.93
44009,14,10,2019,117.69,117.38,27.15
44010,14,10,2019,126.19,126.19,27.23
44011,14,10,2019,127.06,127.31,27.93
44012,14,10,2019,128.38,123.25,28.48
44013,14,10,2019,128.38,123.25,28.48
44014,14,10,2019,127.06,127.31,27.93
44015,14,10,2019,112.5,112.44,27.63
44016,14,10,2019,126.19,126.19,27.23
44017,14,10,2019,118.25,118.44,28.08
44018,14,10,2019,127.06,127.31,27.93
44019,14,10,2019,126.19,126.19,27.23
44020,14,10,2019,126.19,126.19,27.23
44021,14,10,2019,117.69,117.38,27.15
44022,14,10,2019,110.5,123.75,27.22
44023,14,10,2019,126.19,126.19,27.23
44024,14,10,2019,103.94,104.12,27.76
