,Hari,Bulan,Tahun,WD10M,WD2M,T2M
0,12,4,2016,192.94,192.88,29.88
1,12,4,2016,192.94,192.88,29.88
2,12,4,2016,192.94,192.88,29.88
3,12,4,2016,262.12,262.06,27.42
4,12,4,2016,194.75,194.75,29.18
5,12,4,2016,192.94,192.88,29.88
6,12,4,2016,194.75,194.75,29.18
7,12,4,2016,192.94,192.88,29.88
8,12,4,2016,272.25,279.12,27.01
9,12,4,2016,192.94,192.88,29.88
10,12,4,2016,192.94,192.88,29.88
11,12,4,2016,279.69,278.38,27.55
12,12,4,2016,262.56,263.19,28.14
13,12,4,2016,262.56,263.19,28.14
14,12,4,2016,279.69,278.38,27.55
15,12,4,2016,192.94,192.88,29.88
16,13,4,2016,154.88,154.81,29.26
17,13,4,2016,165.5,165.44,29.8
18,13,4,2016,266.38,266.94,28.84
19,13,4,2016,165.5,165.44,29.8
20,13,4,2016,154.88,154.81,29.26
21,13,4,2016,266.38,266.94,28.84
22,13,4,2016,311.44,308.75,28.26
23,13,4,2016,266.38,266.94,28.84
24,13,4,2016,266.38,266.94,28.84
25,13,4,2016,154.88,154.81,29.26
26,13,4,2016,263.81,259.62,21.24
27,14,4,2016,159.75,159.75,29.78
28,14,4,2016,201.0,200.0,29.15
29,14,4,2016,245.56,246.06,28.73
30,14,4,2016,245.56,246.06,28.73
31,14,4,2016,159.69,159.69,29.29
32,15,4,2016,189.81,189.06,27.72
33,15,4,2016,95.12,93.31,27.64
34,15,4,2016,137.69,137.69,28.93
35,15,4,2016,137.69,137.69,28.93
36,15,4,2016,139.12,137.0,28.34
37,15,4,2016,196.88,197.38,28.49
38,15,4,2016,196.88,197.38,28.49
39,15,4,2016,197.69,201.31,27.19
40,15,4,2016,137.69,137.69,28.93
41,15,4,2016,189.81,189.06,27.72
42,15,4,2016,197.69,201.31,27.19
43,15,4,2016,139.12,137.0,28.34
44,15,4,2016,172.81,172.94,27.15
45,15,4,2016,172.81,172.94,27.15
46,15,4,2016,121.81,124.38,26.93
47,15,4,2016,121.81,124.38,26.93
48,15,4,2016,95.12,93.31,27.64
49,15,4,2016,172.81,172.94,27.15
50,15,4,2016,189.81,189.06,27.72
51,15,4,2016,196.88,197.38,28.49
52,15,4,2016,172.81,172.94,27.15
53,15,4,2016,139.12,137.0,28.34
54,15,4,2016,172.81,172.94,27.15
55,15,4,2016,139.12,137.0,28.34
56,15,4,2016,172.81,172.94,27.15
57,16,4,2016,127.25,140.31,24.4
58,16,4,2016,197.94,196.94,25.29
59,16,4,2016,237.31,235.25,29.16
60,16,4,2016,206.62,205.94,28.72
61,16,4,2016,300.5,238.62,21.07
62,16,4,2016,237.31,235.25,29.16
63,16,4,2016,206.62,205.94,28.72
64,16,4,2016,171.0,142.25,27.79
65,16,4,2016,87.81,87.81,29.44
66,16,4,2016,88.12,88.12,29.3
67,16,4,2016,87.81,87.81,29.44
68,16,4,2016,88.12,88.12,29.3
69,16,4,2016,88.12,88.12,29.3
70,16,4,2016,88.12,88.12,29.3
71,16,4,2016,87.81,87.81,29.44
72,16,4,2016,87.81,87.81,29.44
73,16,4,2016,127.25,140.31,24.4
74,17,4,2016,99.62,99.62,29.76
75,17,4,2016,99.62,99.62,29.76
76,17,4,2016,99.62,99.62,29.76
77,17,4,2016,93.69,93.69,28.16
78,17,4,2016,99.62,99.62,29.76
79,17,4,2016,93.69,93.69,28.16
80,17,4,2016,93.69,93.69,28.16
81,17,4,2016,93.69,93.69,28.16
82,17,4,2016,83.25,83.19,29.77
83,17,4,2016,100.19,98.25,27.9
84,17,4,2016,83.25,83.19,29.77
85,17,4,2016,83.25,83.19,29.77
86,17,4,2016,83.25,83.19,29.77
87,17,4,2016,83.25,83.19,29.77
88,17,4,2016,83.25,83.19,29.77
89,17,4,2016,83.25,83.19,29.77
90,17,4,2016,83.25,83.19,29.77
91,17,4,2016,83.25,83.19,29.77
92,17,4,2016,83.25,83.19,29.77
93,17,4,2016,100.19,98.25,27.9
94,17,4,2016,83.25,83.19,29.77
95,17,4,2016,237.38,251.31,23.94
96,17,4,2016,100.19,98.25,27.9
97,17,4,2016,100.19,98.25,27.9
98,17,4,2016,83.25,83.19,29.77
99,17,4,2016,100.19,98.25,27.9
100,17,4,2016,237.38,251.31,23.94
101,17,4,2016,100.19,98.25,27.9
102,18,4,2016,109.75,109.62,29.21
103,18,4,2016,122.25,122.94,27.58
104,18,4,2016,118.0,119.06,27.56
105,18,4,2016,123.94,127.44,27.46
106,18,4,2016,118.0,119.06,27.56
107,18,4,2016,122.25,122.94,27.58
108,18,4,2016,123.06,124.75,28.04
109,18,4,2016,51.12,51.12,30.02
110,18,4,2016,51.12,51.12,30.02
111,18,4,2016,51.12,51.12,30.02
112,18,4,2016,51.12,51.12,30.02
113,18,4,2016,145.81,145.44,27.53
114,18,4,2016,147.81,150.62,27.8
115,18,4,2016,123.06,124.75,28.04
116,19,4,2016,115.62,119.94,28.38
117,19,4,2016,70.81,70.31,29.68
118,19,4,2016,115.62,119.94,28.38
119,19,4,2016,70.81,70.31,29.68
120,19,4,2016,115.62,119.94,28.38
121,19,4,2016,115.62,119.94,28.38
122,19,4,2016,115.62,119.94,28.38
123,19,4,2016,115.62,119.94,28.38
124,19,4,2016,63.19,63.06,27.44
125,19,4,2016,66.56,66.56,27.67
126,19,4,2016,82.06,80.88,28.48
127,19,4,2016,105.94,105.94,27.69
128,19,4,2016,115.62,119.94,28.38
129,19,4,2016,115.62,119.94,28.38
130,19,4,2016,73.81,72.81,29.07
131,19,4,2016,115.62,119.94,28.38
132,19,4,2016,115.62,119.94,28.38
133,19,4,2016,115.62,119.94,28.38
134,19,4,2016,70.81,70.31,29.68
135,19,4,2016,115.62,119.94,28.38
136,19,4,2016,95.88,93.5,27.63
137,19,4,2016,115.62,119.94,28.38
138,19,4,2016,70.81,70.31,29.68
139,19,4,2016,115.62,119.94,28.38
140,19,4,2016,115.62,119.94,28.38
141,19,4,2016,73.81,72.81,29.07
142,19,4,2016,115.62,119.94,28.38
143,19,4,2016,115.62,119.94,28.38
144,19,4,2016,115.62,119.94,28.38
145,19,4,2016,115.62,119.94,28.38
146,19,4,2016,115.62,119.94,28.38
147,19,4,2016,70.81,70.31,29.68
148,19,4,2016,115.62,119.94,28.38
149,19,4,2016,115.62,119.94,28.38
150,19,4,2016,80.75,79.56,28.59
151,19,4,2016,70.81,70.31,29.68
152,19,4,2016,115.62,119.94,28.38
153,19,4,2016,115.62,119.94,28.38
154,19,4,2016,102.75,123.06,21.59
155,19,4,2016,115.62,119.94,28.38
156,19,4,2016,105.5,186.5,24.64
157,19,4,2016,53.5,53.5,29.74
158,19,4,2016,53.5,53.5,29.74
159,19,4,2016,53.5,53.5,29.74
160,19,4,2016,53.5,53.5,29.74
161,19,4,2016,53.5,53.5,29.74
162,19,4,2016,53.5,53.5,29.74
163,19,4,2016,53.5,53.5,29.74
164,19,4,2016,53.5,53.5,29.74
165,19,4,2016,59.38,59.38,30.15
166,19,4,2016,53.5,53.5,29.74
167,19,4,2016,53.5,53.5,29.74
168,19,4,2016,51.38,51.38,29.65
169,19,4,2016,59.38,59.38,30.15
170,19,4,2016,51.38,51.38,29.65
171,19,4,2016,53.5,53.5,29.74
172,19,4,2016,53.5,53.5,29.74
173,19,4,2016,53.5,53.5,29.74
174,19,4,2016,53.5,53.5,29.74
175,19,4,2016,53.5,53.5,29.74
176,19,4,2016,53.5,53.5,29.74
177,19,4,2016,59.38,59.38,30.15
178,19,4,2016,53.5,53.5,29.74
179,19,4,2016,53.5,53.5,29.74
180,19,4,2016,115.62,119.94,28.38
181,19,4,2016,94.88,95.19,29.51
182,19,4,2016,115.62,119.94,28.38
183,19,4,2016,70.81,70.31,29.68
184,19,4,2016,105.5,186.5,24.64
185,19,4,2016,115.62,119.94,28.38
186,19,4,2016,109.12,113.38,27.32
187,19,4,2016,109.12,113.38,27.32
188,19,4,2016,115.62,119.94,28.38
189,19,4,2016,115.62,119.94,28.38
190,19,4,2016,115.62,119.94,28.38
191,19,4,2016,115.62,119.94,28.38
192,19,4,2016,105.5,186.5,24.64
193,19,4,2016,105.5,186.5,24.64
194,19,4,2016,105.5,186.5,24.64
195,19,4,2016,105.5,186.5,24.64
196,20,4,2016,175.69,183.31,23.66
197,20,4,2016,115.94,119.5,25.36
198,20,4,2016,107.69,123.88,21.73
199,20,4,2016,88.12,81.75,27.73
200,20,4,2016,111.44,112.69,27.56
201,20,4,2016,113.25,116.94,28.24
202,20,4,2016,51.0,51.0,29.72
203,20,4,2016,51.0,51.0,29.72
204,20,4,2016,51.0,51.0,29.72
205,20,4,2016,51.0,51.0,29.72
206,20,4,2016,103.06,149.44,22.16
207,20,4,2016,124.56,122.62,27.48
208,20,4,2016,125.12,122.56,27.51
209,20,4,2016,113.25,116.94,28.24
210,20,4,2016,85.38,86.75,29.42
211,20,4,2016,90.38,91.19,27.35
212,20,4,2016,123.12,149.31,23.55
213,20,4,2016,124.56,122.62,27.48
214,20,4,2016,113.25,116.94,28.24
215,20,4,2016,126.69,126.38,29.96
216,20,4,2016,146.12,161.88,24.56
217,20,4,2016,126.69,126.38,29.96
218,20,4,2016,88.12,81.75,27.73
219,20,4,2016,125.12,122.56,27.51
220,20,4,2016,167.25,222.94,25.65
221,20,4,2016,167.25,222.94,25.65
222,20,4,2016,109.69,111.62,27.28
223,20,4,2016,111.44,112.69,27.56
224,20,4,2016,113.25,116.94,28.24
225,20,4,2016,115.94,119.5,25.36
226,20,4,2016,52.94,52.44,29.44
227,20,4,2016,113.25,116.94,28.24
228,20,4,2016,85.38,86.75,29.42
229,20,4,2016,115.94,119.5,25.36
230,20,4,2016,55.94,55.88,29.03
231,20,4,2016,58.62,58.69,30.16
232,20,4,2016,128.94,129.06,29.98
233,20,4,2016,115.94,119.5,25.36
234,20,4,2016,76.25,77.81,26.16
235,20,4,2016,144.31,145.94,27.93
236,20,4,2016,126.69,126.38,29.96
237,20,4,2016,126.69,126.38,29.96
238,20,4,2016,113.25,116.94,28.24
239,20,4,2016,123.12,149.31,23.55
240,20,4,2016,146.12,161.88,24.56
241,20,4,2016,158.81,160.44,28.23
242,20,4,2016,123.12,149.31,23.55
243,20,4,2016,115.94,119.5,25.36
244,20,4,2016,158.81,160.44,28.23
245,20,4,2016,144.31,145.94,27.93
246,20,4,2016,175.69,183.31,23.66
247,20,4,2016,144.31,145.94,27.93
248,20,4,2016,103.06,149.44,22.16
249,20,4,2016,144.31,145.94,27.93
250,20,4,2016,103.06,149.44,22.16
251,20,4,2016,103.06,149.44,22.16
252,20,4,2016,226.12,226.19,29.37
253,20,4,2016,103.06,149.44,22.16
254,20,4,2016,128.94,129.06,29.98
255,20,4,2016,104.62,94.5,27.49
256,20,4,2016,104.62,94.5,27.49
257,20,4,2016,125.12,122.56,27.51
258,20,4,2016,51.75,50.75,28.96
259,20,4,2016,109.69,111.62,27.28
260,20,4,2016,111.44,112.69,27.56
261,20,4,2016,103.06,149.44,22.16
262,20,4,2016,124.56,122.62,27.48
263,20,4,2016,108.25,103.62,27.12
264,20,4,2016,51.75,50.75,28.96
265,20,4,2016,104.62,94.5,27.49
266,20,4,2016,142.62,140.25,27.53
267,20,4,2016,57.62,55.94,28.48
268,20,4,2016,128.94,129.06,29.98
269,20,4,2016,144.31,145.94,27.93
270,20,4,2016,175.69,183.31,23.66
271,20,4,2016,144.31,145.94,27.93
272,20,4,2016,144.31,145.94,27.93
273,20,4,2016,175.69,183.31,23.66
274,20,4,2016,128.94,129.06,29.98
275,20,4,2016,103.06,149.44,22.16
276,20,4,2016,115.94,119.5,25.36
277,20,4,2016,115.94,119.5,25.36
278,20,4,2016,115.94,119.5,25.36
279,20,4,2016,175.69,183.31,23.66
280,20,4,2016,55.94,55.88,29.03
281,20,4,2016,88.62,85.94,28.26
282,20,4,2016,88.12,81.75,27.73
283,20,4,2016,144.31,145.94,27.93
284,20,4,2016,175.69,183.31,23.66
285,20,4,2016,107.69,123.88,21.73
286,20,4,2016,128.94,129.06,29.98
287,20,4,2016,115.94,119.5,25.36
288,20,4,2016,103.06,149.44,22.16
289,20,4,2016,103.06,149.44,22.16
290,20,4,2016,76.25,77.81,26.16
291,20,4,2016,103.06,149.44,22.16
292,20,4,2016,226.12,226.19,29.37
293,20,4,2016,103.06,149.44,22.16
294,20,4,2016,167.25,222.94,25.65
295,20,4,2016,123.12,149.31,23.55
296,20,4,2016,125.12,122.56,27.51
297,20,4,2016,125.12,122.56,27.51
298,20,4,2016,111.44,112.69,27.56
299,20,4,2016,111.44,112.69,27.56
300,20,4,2016,113.25,116.94,28.24
301,20,4,2016,142.62,140.25,27.53
302,20,4,2016,85.38,86.75,29.42
303,20,4,2016,52.94,52.44,29.44
304,20,4,2016,113.25,116.94,28.24
305,20,4,2016,104.62,94.5,27.49
306,20,4,2016,51.75,50.75,28.96
307,20,4,2016,113.25,116.94,28.24
308,20,4,2016,104.62,94.5,27.49
309,20,4,2016,125.12,122.56,27.51
310,20,4,2016,109.69,111.62,27.28
311,20,4,2016,113.25,116.94,28.24
312,20,4,2016,111.44,112.69,27.56
313,20,4,2016,111.44,112.69,27.56
314,21,4,2016,61.69,61.69,29.5
315,21,4,2016,60.62,60.62,29.62
316,21,4,2016,60.62,60.62,29.62
317,21,4,2016,60.62,60.62,29.62
318,21,4,2016,60.62,60.62,29.62
319,21,4,2016,60.62,60.62,29.62
320,21,4,2016,60.62,60.62,29.62
321,21,4,2016,60.62,60.62,29.62
322,21,4,2016,60.62,60.62,29.62
323,21,4,2016,60.62,60.62,29.62
324,21,4,2016,60.62,60.62,29.62
325,21,4,2016,60.62,60.62,29.62
326,21,4,2016,60.62,60.62,29.62
327,22,4,2016,102.44,103.12,28.2
328,22,4,2016,141.56,139.94,28.22
329,22,4,2016,220.62,237.0,27.3
330,22,4,2016,110.31,137.44,27.31
331,22,4,2016,110.31,137.44,27.31
332,22,4,2016,116.25,117.62,29.25
333,22,4,2016,116.25,117.62,29.25
334,22,4,2016,298.06,274.19,21.76
335,22,4,2016,116.25,117.62,29.25
336,22,4,2016,110.31,137.44,27.31
337,22,4,2016,138.25,108.94,25.73
338,22,4,2016,130.81,132.56,28.23
339,22,4,2016,298.06,274.19,21.76
340,22,4,2016,103.81,102.06,27.32
341,22,4,2016,103.81,102.06,27.32
342,22,4,2016,102.44,103.12,28.2
343,22,4,2016,134.0,138.81,27.37
344,22,4,2016,102.44,103.12,28.2
345,22,4,2016,130.81,132.56,28.23
346,22,4,2016,142.31,140.31,28.31
347,22,4,2016,236.0,235.06,25.15
348,22,4,2016,142.31,140.31,28.31
